2026-06-13T04:22:52,18.48,30.62
2026-06-13T04:23:38,13.25,30.03
2026-06-13T04:25:00,40.79,45.86
2026-06-13T04:26:21,31.59,39.52
2026-06-13T04:27:42,34.03,35.77
2026-06-13T04:29:03,28.20,38.79
2026-06-13T04:30:25,35.11,44.06
2026-06-13T04:31:46,41.33,38.04
2026-06-13T04:32:19,30.21,28.17
2026-06-13T04:32:56,26.66,14.41
2026-06-13T04:34:08,23.23,29.67
2026-06-13T04:35:08,40.11,17.80
2026-06-13T04:36:08,22.32,26.92
2026-06-13T04:37:08,36.69,23.33
2026-06-13T04:38:08,27.42,41.35
2026-06-13T04:39:49,44.65,29.08
2026-06-13T04:40:50,36.63,31.66
2026-06-13T04:41:50,38.80,42.28
2026-06-13T04:42:50,33.64,11.30
2026-06-13T04:43:50,14.22,45.54
2026-06-13T04:44:50,44.52,29.85
2026-06-13T04:45:50,12.58,31.51
2026-06-13T04:46:50,27.67,10.09
2026-06-13T04:47:50,40.38,27.35
2026-06-13T04:48:50,12.92,55.70
2026-06-13T04:49:50,44.40,46.99
2026-06-13T04:50:50,26.79,47.86
2026-06-13T04:51:50,40.75,52.64
2026-06-13T04:52:50,38.85,20.36
2026-06-13T04:53:50,44.97,39.35
2026-06-13T04:54:51,25.22,57.67
2026-06-13T04:55:50,21.63,24.11
2026-06-13T04:56:50,44.55,58.35
2026-06-13T04:57:50,23.52,40.06
2026-06-13T04:58:50,33.72,29.28
2026-06-13T04:59:50,45.54,46.23
2026-06-13T05:00:35,18.94,26.70
2026-06-13T05:01:35,36.16,34.60
2026-06-13T05:02:35,40.69,34.45
2026-06-13T05:03:35,31.44,49.92
2026-06-13T05:04:35,40.82,41.70
2026-06-13T05:08:00,24.35,34.99
2026-06-13T05:09:00,34.34,59.69
2026-06-13T05:10:00,18.53,49.52
2026-06-13T05:11:00,31.29,22.62
2026-06-13T05:12:00,32.79,34.28
2026-06-13T05:13:20,26.81,38.99
2026-06-13T05:14:20,26.37,35.80
2026-06-13T05:15:20,17.69,18.03
2026-06-13T05:16:20,31.04,31.23
2026-06-13T05:17:20,23.70,39.25
2026-06-13T05:18:20,32.56,25.33
2026-06-13T05:19:20,41.60,15.74
2026-06-13T05:20:20,9.91,56.68
2026-06-13T05:21:21,8.71,23.11
2026-06-13T05:22:21,35.03,15.99
2026-06-13T05:23:21,30.22,45.51
2026-06-13T05:43:37,49.89,77.06
2026-06-13T05:44:37,47.21,76.44
2026-06-13T05:45:37,59.62,48.08
2026-06-13T05:46:37,58.71,49.32
2026-06-13T05:47:37,55.63,57.64
2026-06-13T05:48:37,60.55,54.08
2026-06-13T05:49:37,59.24,58.54
